﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,军庄镇_110109104000,116.067835,40.031366,12922183.048988547,4843817.98890534
1,军庄镇_110109104000,116.068409,40.031278,12922247.436890092,4843803.865615828
2,军庄镇_110109104000,116.069172,40.030048,12922333.0679596,4843623.969019991
3,军庄镇_110109104000,116.069575,40.02973,12922378.3011374,4843577.000225683
4,军庄镇_110109104000,116.074074,40.003061,12922884.823891727,4839706.609716459
5,军庄镇_110109104000,116.073492,40.00311,12922819.603937574,4839714.925229162
6,军庄镇_110109104000,116.072911,40.00316,12922754.529598562,4839723.417694832
7,军庄镇_110109104000,116.072329,40.003209,12922689.29772908,4839731.778065077
8,军庄镇_110109104000,116.071748,40.003258,12922624.181882435,4839740.15637436
9,军庄镇_110109104000,116.071982,40.027241,12922648.32434852,4843211.147301709
10,军庄镇_110109104000,116.071741,40.027644,12922621.285491358,4843270.005024768
11,军庄镇_110109104000,116.073086,40.010786,12922773.553085778,4840826.778864872
12,军庄镇_110109104000,116.073165,40.011232,12922782.374296444,4840891.179996291
13,军庄镇_110109104000,116.073244,40.011678,12922791.164629577,4840955.543136336
14,军庄镇_110109104000,116.073324,40.012124,12922800.106265277,4841019.903797415
15,军庄镇_110109104000,116.073086,40.010786,12922773.553085778,4840826.778864872
16,军庄镇_110109104000,116.07355,40.010511,12922825.563403398,4840785.973668898
17,军庄镇_110109104000,116.073975,40.01021,12922873.200302482,4840741.541892624
18,军庄镇_110109104000,116.074176,40.00979,12922895.7689692,4840680.311256686
19,军庄镇_110109104000,116.073096,40.023913,12922773.445446618,4842726.912218032
20,军庄镇_110109104000,116.073309,40.024332,12922797.267600851,4842787.087942311
21,军庄镇_110109104000,116.073275,40.023516,12922793.52807484,4842669.0475716265
22,军庄镇_110109104000,116.073275,40.023516,12922793.52807484,4842669.0475716265
23,军庄镇_110109104000,116.07335,40.023069,12922801.986566802,4842604.160398388
24,军庄镇_110109104000,116.073457,40.022627,12922813.9971318,4842539.986443571
25,军庄镇_110109104000,116.074074,40.003061,12922884.823891727,4839706.609716459
26,军庄镇_110109104000,116.074615,40.002889,12922945.432369431,4839680.585857569
27,军庄镇_110109104000,116.075144,40.002697,12923004.670444405,4839651.705313006
28,军庄镇_110109104000,116.075673,40.002504,12923063.932988215,4839622.6890473375
29,军庄镇_110109104000,116.076202,40.002312,12923123.219598316,4839593.85205154
30,军庄镇_110109104000,116.076734,40.002126,12923182.772427678,4839565.936721743
31,军庄镇_110109104000,116.074583,40.009153,12922941.399035556,4840587.255531415
32,军庄镇_110109104000,116.074583,40.009153,12922941.399035556,4840587.255531415
33,军庄镇_110109104000,116.075103,40.008952,12922999.640907098,4840557.09686634
34,军庄镇_110109104000,116.075547,40.00866,12923049.417641647,4840513.969077469
35,军庄镇_110109104000,116.075742,40.015349,12923070.642485384,4841481.747199996
36,军庄镇_110109104000,116.076321,40.015411,12923135.461228505,4841489.596991741
37,军庄镇_110109104000,116.076906,40.015414,12923200.97671904,4841488.903301897
38,军庄镇_110109104000,116.077491,40.01541,12923266.45460114,4841487.21960588
39,军庄镇_110109104000,116.076946,40.006014,12923206.253170874,4840128.2577303145
40,军庄镇_110109104000,116.076845,40.006455,12923194.89633027,4840192.26129729
41,军庄镇_110109104000,116.076764,40.0069,12923185.78369167,4840256.853027065
42,军庄镇_110109104000,116.076679,40.007345,12923176.245436125,4840321.413988099
43,军庄镇_110109104000,116.076879,40.005542,12923198.768589344,4840060.081409444
44,军庄镇_110109104000,116.076944,40.005989,12923206.042958714,4840124.610371047
45,军庄镇_110109104000,116.076879,40.005542,12923198.768589344,4840060.081409444
46,军庄镇_110109104000,116.077021,40.005105,12923214.70535694,4839996.584444976
